System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s50ky0.25_3_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.34691 -> 0.32079, length: 1, cache size: 26
min(objective): 0.32079 -> 0.31613, length: 1, cache size: 28
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.31613 -> 0.31209, length: 2, cache size: 114
min(objective): 0.31209 -> 0.30081, length: 2, cache size: 115
min(objective): 0.30081 -> 0.29547, length: 2, cache size: 123
before garbage_collect. num_nodes: 214, log10(remaining): 1
after garbage_collect. num_nodes: 214, log10(remaining): 1
min(objective): 0.29547 -> 0.29165, length: 2, cache size: 224
before garbage_collect. num_nodes: 315, log10(remaining): 1
after garbage_collect. num_nodes: 315, log10(remaining): 1
min(objective): 0.29165 -> 0.28989, length: 2, cache size: 510
min(objective): 0.28989 -> 0.28479, length: 2, cache size: 516
min(objective): 0.28479 -> 0.28203, length: 2, cache size: 518
min(objective): 0.28203 -> 0.27873, length: 2, cache size: 519
before garbage_collect. num_nodes: 606, log10(remaining): 1
after garbage_collect. num_nodes: 606, log10(remaining): 1
min(objective): 0.27873 -> 0.27654, length: 4, cache size: 32015
before garbage_collect. num_nodes: 32074, log10(remaining): 1
after garbage_collect. num_nodes: 32074, log10(remaining): 1
min(objective): 0.27654 -> 0.27538, length: 4, cache size: 109914
before garbage_collect. num_nodes: 109966, log10(remaining): 1
after garbage_collect. num_nodes: 109966, log10(remaining): 1
min(objective): 0.27538 -> 0.26214, length: 3, cache size: 167783
before garbage_collect. num_nodes: 167835, log10(remaining): 1
after garbage_collect. num_nodes: 167835, log10(remaining): 1
min(objective): 0.26214 -> 0.25692, length: 3, cache size: 312653
before garbage_collect. num_nodes: 312680, log10(remaining): 1
after garbage_collect. num_nodes: 312680, log10(remaining): 1
iter: 10000, tree: 322684, queue: 313745, pmap: 310146, log10(remaining): 1, time elapsed: 5.845280
iter: 20000, tree: 489494, queue: 471596, pmap: 467493, log10(remaining): 1, time elapsed: 10.655185
iter: 30000, tree: 622856, queue: 595891, pmap: 592981, log10(remaining): 1, time elapsed: 15.197425
min(objective): 0.25692 -> 0.25692, length: 3, cache size: 666112
before garbage_collect. num_nodes: 666139, log10(remaining): 1
after garbage_collect. num_nodes: 666139, log10(remaining): 1
iter: 40000, tree: 737176, queue: 701148, pmap: 699002, log10(remaining): 1, time elapsed: 19.638373
iter: 50000, tree: 839039, queue: 794210, pmap: 793329, log10(remaining): 1, time elapsed: 23.974066
iter: 60000, tree: 935957, queue: 882123, pmap: 881933, log10(remaining): 1, time elapsed: 28.210031
iter: 70000, tree: 1026719, queue: 963938, pmap: 964909, log10(remaining): 1, time elapsed: 32.450175
iter: 80000, tree: 1112275, queue: 1040599, pmap: 1043759, log10(remaining): 1, time elapsed: 36.531558
iter: 90000, tree: 1189197, queue: 1108581, pmap: 1114021, log10(remaining): 1, time elapsed: 40.546578
iter: 100000, tree: 1266460, queue: 1176772, pmap: 1183153, log10(remaining): 1, time elapsed: 44.507791
iter: 110000, tree: 1340065, queue: 1241397, pmap: 1248695, log10(remaining): 1, time elapsed: 48.448422
iter: 120000, tree: 1402909, queue: 1295645, pmap: 1304702, log10(remaining): 1, time elapsed: 52.369120
iter: 130000, tree: 1462531, queue: 1346379, pmap: 1357088, log10(remaining): 1, time elapsed: 56.234363
iter: 140000, tree: 1521228, queue: 1396194, pmap: 1408804, log10(remaining): 1, time elapsed: 60.050926
iter: 150000, tree: 1577283, queue: 1443545, pmap: 1457712, log10(remaining): 1, time elapsed: 63.828273
iter: 160000, tree: 1629134, queue: 1486666, pmap: 1502051, log10(remaining): 1, time elapsed: 67.593430
iter: 170000, tree: 1675741, queue: 1524608, pmap: 1541465, log10(remaining): 1, time elapsed: 71.350056
iter: 180000, tree: 1721395, queue: 1561744, pmap: 1579293, log10(remaining): 1, time elapsed: 75.061102
iter: 190000, tree: 1765433, queue: 1597220, pmap: 1617136, log10(remaining): 1, time elapsed: 78.751711
iter: 200000, tree: 1804340, queue: 1627915, pmap: 1651177, log10(remaining): 1, time elapsed: 82.444231
iter: 210000, tree: 1840706, queue: 1655965, pmap: 1682422, log10(remaining): 1, time elapsed: 86.084306
iter: 220000, tree: 1877331, queue: 1684099, pmap: 1714498, log10(remaining): 1, time elapsed: 89.692990
iter: 230000, tree: 1905635, queue: 1704203, pmap: 1738025, log10(remaining): 1, time elapsed: 93.281527
iter: 240000, tree: 1936489, queue: 1727024, pmap: 1763412, log10(remaining): 1, time elapsed: 96.881190
iter: 250000, tree: 1965397, queue: 1747601, pmap: 1786891, log10(remaining): 1, time elapsed: 100.444908
iter: 260000, tree: 1995440, queue: 1769407, pmap: 1812736, log10(remaining): 1, time elapsed: 104.027815
iter: 270000, tree: 2024121, queue: 1790223, pmap: 1837090, log10(remaining): 1, time elapsed: 107.852297
iter: 280000, tree: 2045945, queue: 1804451, pmap: 1855537, log10(remaining): 1, time elapsed: 111.401705
iter: 290000, tree: 2066137, queue: 1817267, pmap: 1873226, log10(remaining): 1, time elapsed: 114.916999
iter: 300000, tree: 2081090, queue: 1825425, pmap: 1886485, log10(remaining): 1, time elapsed: 118.435554
iter: 310000, tree: 2096163, queue: 1833709, pmap: 1900690, log10(remaining): 1, time elapsed: 121.925998
iter: 320000, tree: 2108245, queue: 1839258, pmap: 1911418, log10(remaining): 1, time elapsed: 125.431334
iter: 330000, tree: 2118097, queue: 1842729, pmap: 1921355, log10(remaining): 1, time elapsed: 128.904666
iter: 340000, tree: 2129880, queue: 1847678, pmap: 1931814, log10(remaining): 1, time elapsed: 132.381421
iter: 350000, tree: 2140318, queue: 1851995, pmap: 1942466, log10(remaining): 1, time elapsed: 135.844944
iter: 360000, tree: 2148395, queue: 1854222, pmap: 1951061, log10(remaining): 1, time elapsed: 139.285208
iter: 370000, tree: 2158285, queue: 1858026, pmap: 1961046, log10(remaining): 1, time elapsed: 142.749944
iter: 380000, tree: 2163058, queue: 1857953, pmap: 1968020, log10(remaining): 1, time elapsed: 146.189940
iter: 390000, tree: 2166695, queue: 1856635, pmap: 1974119, log10(remaining): 1, time elapsed: 149.608769
iter: 400000, tree: 2170825, queue: 1855577, pmap: 1980994, log10(remaining): 1, time elapsed: 152.998296
iter: 410000, tree: 2172099, queue: 1852882, pmap: 1986147, log10(remaining): 1, time elapsed: 156.392266
iter: 420000, tree: 2173605, queue: 1850055, pmap: 1991045, log10(remaining): 1, time elapsed: 159.803835
iter: 430000, tree: 2174424, queue: 1846728, pmap: 1995994, log10(remaining): 1, time elapsed: 163.170523
iter: 440000, tree: 2173014, queue: 1842256, pmap: 1999737, log10(remaining): 1, time elapsed: 166.576549
iter: 450000, tree: 2171895, queue: 1837740, pmap: 2003706, log10(remaining): 1, time elapsed: 169.935987
iter: 460000, tree: 2169522, queue: 1832532, pmap: 2007277, log10(remaining): 1, time elapsed: 173.298820
iter: 470000, tree: 2166765, queue: 1826959, pmap: 2010424, log10(remaining): 1, time elapsed: 176.640425
iter: 480000, tree: 2163404, queue: 1821174, pmap: 2013469, log10(remaining): 1, time elapsed: 180.009243
iter: 490000, tree: 2159666, queue: 1815155, pmap: 2016052, log10(remaining): 1, time elapsed: 183.358787
iter: 500000, tree: 2154937, queue: 1808355, pmap: 2018306, log10(remaining): 1, time elapsed: 186.705519
iter: 510000, tree: 2149176, queue: 1800980, pmap: 2020299, log10(remaining): 1, time elapsed: 190.060370
iter: 520000, tree: 2142986, queue: 1793330, pmap: 2021958, log10(remaining): 1, time elapsed: 193.389689
iter: 530000, tree: 2136908, queue: 1785838, pmap: 2023724, log10(remaining): 1, time elapsed: 196.717977
iter: 540000, tree: 2129897, queue: 1777786, pmap: 2025127, log10(remaining): 1, time elapsed: 200.000768
iter: 550000, tree: 2122752, queue: 1769462, pmap: 2026388, log10(remaining): 1, time elapsed: 203.297880
iter: 560000, tree: 2114940, queue: 1760862, pmap: 2027519, log10(remaining): 1, time elapsed: 206.627824
iter: 570000, tree: 2106604, queue: 1751925, pmap: 2028241, log10(remaining): 1, time elapsed: 209.913079
iter: 580000, tree: 2098523, queue: 1743205, pmap: 2028997, log10(remaining): 1, time elapsed: 213.196751
iter: 590000, tree: 2090353, queue: 1734378, pmap: 2029906, log10(remaining): 1, time elapsed: 216.486740
iter: 600000, tree: 2081486, queue: 1725108, pmap: 2030554, log10(remaining): 1, time elapsed: 219.765498
iter: 610000, tree: 2073435, queue: 1716403, pmap: 2031528, log10(remaining): 1, time elapsed: 223.044684
iter: 620000, tree: 2065045, queue: 1707430, pmap: 2032292, log10(remaining): 1, time elapsed: 226.352039
iter: 630000, tree: 2056338, queue: 1698162, pmap: 2032864, log10(remaining): 1, time elapsed: 229.619856
iter: 640000, tree: 2047456, queue: 1688796, pmap: 2033345, log10(remaining): 1, time elapsed: 232.874563
iter: 650000, tree: 2038881, queue: 1679616, pmap: 2033982, log10(remaining): 1, time elapsed: 236.148866
iter: 660000, tree: 2030153, queue: 1670400, pmap: 2034624, log10(remaining): 1, time elapsed: 239.416024
iter: 670000, tree: 2021079, queue: 1660933, pmap: 2034967, log10(remaining): 1, time elapsed: 242.684591
iter: 680000, tree: 2012016, queue: 1651435, pmap: 2035392, log10(remaining): 1, time elapsed: 245.944242
iter: 690000, tree: 2003025, queue: 1641976, pmap: 2035878, log10(remaining): 1, time elapsed: 249.199267
iter: 700000, tree: 1993867, queue: 1632395, pmap: 2036194, log10(remaining): 1, time elapsed: 252.433641
iter: 710000, tree: 1984515, queue: 1622711, pmap: 2036454, log10(remaining): 1, time elapsed: 255.664971
iter: 720000, tree: 1975023, queue: 1612940, pmap: 2036660, log10(remaining): 1, time elapsed: 258.905154
iter: 730000, tree: 1965504, queue: 1603144, pmap: 2036870, log10(remaining): 1, time elapsed: 262.146421
iter: 740000, tree: 1955927, queue: 1593332, pmap: 2037086, log10(remaining): 1, time elapsed: 265.376112
iter: 750000, tree: 1946499, queue: 1583586, pmap: 2037205, log10(remaining): 1, time elapsed: 268.591582
iter: 760000, tree: 1936709, queue: 1573647, pmap: 2037291, log10(remaining): 1, time elapsed: 271.808800
iter: 770000, tree: 1926962, queue: 1563721, pmap: 2037433, log10(remaining): 1, time elapsed: 275.021609
iter: 780000, tree: 1917114, queue: 1553819, pmap: 2037532, log10(remaining): 1, time elapsed: 278.237279
iter: 790000, tree: 1907175, queue: 1543831, pmap: 2037634, log10(remaining): 1, time elapsed: 281.423695
iter: 800000, tree: 1897224, queue: 1533814, pmap: 2037692, log10(remaining): 1, time elapsed: 284.627849
iter: 810000, tree: 1887289, queue: 1523828, pmap: 2037761, log10(remaining): 1, time elapsed: 287.826751
iter: 820000, tree: 1877367, queue: 1513829, pmap: 2037824, log10(remaining): 1, time elapsed: 291.030870
iter: 830000, tree: 1867953, queue: 1504091, pmap: 2038036, log10(remaining): 1, time elapsed: 294.233953
iter: 840000, tree: 1858049, queue: 1494133, pmap: 2038110, log10(remaining): 1, time elapsed: 297.423874
iter: 850000, tree: 1848215, queue: 1484169, pmap: 2038185, log10(remaining): 1, time elapsed: 300.609823
iter: 860000, tree: 1838164, queue: 1474091, pmap: 2038239, log10(remaining): 1, time elapsed: 303.811943
iter: 870000, tree: 1828112, queue: 1464112, pmap: 2038254, log10(remaining): 1, time elapsed: 307.011080
iter: 880000, tree: 1818007, queue: 1454032, pmap: 2038266, log10(remaining): 1, time elapsed: 310.201609
iter: 890000, tree: 1807840, queue: 1443922, pmap: 2038278, log10(remaining): 1, time elapsed: 313.403149
iter: 900000, tree: 1797687, queue: 1433835, pmap: 2038278, log10(remaining): 1, time elapsed: 316.617414
iter: 910000, tree: 1787559, queue: 1423760, pmap: 2038296, log10(remaining): 1, time elapsed: 319.783523
iter: 920000, tree: 1777282, queue: 1413621, pmap: 2038297, log10(remaining): 1, time elapsed: 322.951592
iter: 930000, tree: 1767028, queue: 1403508, pmap: 2038297, log10(remaining): 1, time elapsed: 326.120268
iter: 940000, tree: 1756804, queue: 1393408, pmap: 2038297, log10(remaining): 1, time elapsed: 329.273818
iter: 950000, tree: 1746315, queue: 1383287, pmap: 2038297, log10(remaining): 1, time elapsed: 332.433586
iter: 960000, tree: 1736113, queue: 1373171, pmap: 2038297, log10(remaining): 1, time elapsed: 335.560985
iter: 970000, tree: 1725928, queue: 1363054, pmap: 2038297, log10(remaining): 1, time elapsed: 338.705673
iter: 980000, tree: 1715762, queue: 1352977, pmap: 2038297, log10(remaining): 1, time elapsed: 341.851237
iter: 990000, tree: 1705533, queue: 1342877, pmap: 2038297, log10(remaining): 1, time elapsed: 344.986638
iter: 1000000, tree: 1695291, queue: 1332768, pmap: 2038297, log10(remaining): 1, time elapsed: 348.141761
iter: 1010000, tree: 1685026, queue: 1322637, pmap: 2038297, log10(remaining): 1, time elapsed: 351.276053
iter: 1020000, tree: 1674744, queue: 1312489, pmap: 2038297, log10(remaining): 1, time elapsed: 354.400799
