System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.28_9_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35564 -> 0.32493, length: 1, cache size: 24
before garbage_collect. num_nodes: 99, log10(remaining): 1
after garbage_collect. num_nodes: 99, log10(remaining): 1
min(objective): 0.32493 -> 0.31353, length: 2, cache size: 100
min(objective): 0.31353 -> 0.29913, length: 2, cache size: 101
min(objective): 0.29913 -> 0.28783, length: 2, cache size: 106
before garbage_collect. num_nodes: 185, log10(remaining): 1
after garbage_collect. num_nodes: 185, log10(remaining): 1
min(objective): 0.28783 -> 0.28783, length: 2, cache size: 1082
before garbage_collect. num_nodes: 1135, log10(remaining): 1
after garbage_collect. num_nodes: 1135, log10(remaining): 1
min(objective): 0.28783 -> 0.28222, length: 4, cache size: 4541
before garbage_collect. num_nodes: 4596, log10(remaining): 1
after garbage_collect. num_nodes: 4596, log10(remaining): 1
min(objective): 0.28222 -> 0.28012, length: 4, cache size: 6381
before garbage_collect. num_nodes: 6436, log10(remaining): 1
after garbage_collect. num_nodes: 6436, log10(remaining): 1
min(objective): 0.28012 -> 0.28002, length: 5, cache size: 61678
before garbage_collect. num_nodes: 61724, log10(remaining): 1
after garbage_collect. num_nodes: 61724, log10(remaining): 1
min(objective): 0.28002 -> 0.27382, length: 3, cache size: 257512
before garbage_collect. num_nodes: 257539, log10(remaining): 1
after garbage_collect. num_nodes: 257539, log10(remaining): 1
iter: 10000, tree: 279611, queue: 270040, pmap: 271831, log10(remaining): 1, time elapsed: 1.396201
iter: 20000, tree: 440523, queue: 421385, pmap: 423374, log10(remaining): 1, time elapsed: 2.488451
iter: 30000, tree: 558631, queue: 530193, pmap: 532198, log10(remaining): 1, time elapsed: 3.548826
iter: 40000, tree: 648279, queue: 610611, pmap: 611637, log10(remaining): 1, time elapsed: 4.523947
iter: 50000, tree: 727497, queue: 680642, pmap: 679050, log10(remaining): 1, time elapsed: 5.456130
iter: 60000, tree: 792649, queue: 736848, pmap: 734708, log10(remaining): 1, time elapsed: 6.350354
iter: 70000, tree: 854579, queue: 789819, pmap: 783674, log10(remaining): 1, time elapsed: 7.240397
iter: 80000, tree: 906236, queue: 832748, pmap: 825423, log10(remaining): 1, time elapsed: 8.126626
iter: 90000, tree: 948327, queue: 866422, pmap: 857883, log10(remaining): 1, time elapsed: 8.963910
iter: 100000, tree: 985732, queue: 895720, pmap: 885501, log10(remaining): 1, time elapsed: 9.788288
iter: 110000, tree: 1018032, queue: 919879, pmap: 908624, log10(remaining): 1, time elapsed: 10.703315
iter: 120000, tree: 1043758, queue: 937824, pmap: 927613, log10(remaining): 1, time elapsed: 11.493021
iter: 130000, tree: 1066805, queue: 953732, pmap: 945236, log10(remaining): 1, time elapsed: 12.266488
iter: 140000, tree: 1086459, queue: 966237, pmap: 960381, log10(remaining): 1, time elapsed: 13.028140
iter: 150000, tree: 1104933, queue: 977954, pmap: 974032, log10(remaining): 1, time elapsed: 13.798114
iter: 160000, tree: 1121008, queue: 987534, pmap: 986036, log10(remaining): 1, time elapsed: 14.550013
iter: 170000, tree: 1135205, queue: 995360, pmap: 996837, log10(remaining): 1, time elapsed: 15.288440
iter: 180000, tree: 1144075, queue: 998857, pmap: 1004469, log10(remaining): 1, time elapsed: 16.029587
iter: 190000, tree: 1150295, queue: 1000035, pmap: 1011234, log10(remaining): 1, time elapsed: 16.755444
