System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s5ky0.22_3_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35035 -> 0.31651, length: 1, cache size: 29
before garbage_collect. num_nodes: 131, log10(remaining): 1
after garbage_collect. num_nodes: 131, log10(remaining): 1
min(objective): 0.31651 -> 0.31089, length: 2, cache size: 139
min(objective): 0.31089 -> 0.30468, length: 2, cache size: 141
before garbage_collect. num_nodes: 248, log10(remaining): 1
after garbage_collect. num_nodes: 248, log10(remaining): 1
min(objective): 0.30468 -> 0.29908, length: 2, cache size: 492
before garbage_collect. num_nodes: 597, log10(remaining): 1
after garbage_collect. num_nodes: 597, log10(remaining): 1
min(objective): 0.29908 -> 0.29047, length: 2, cache size: 9143
before garbage_collect. num_nodes: 9245, log10(remaining): 1
after garbage_collect. num_nodes: 9245, log10(remaining): 1
min(objective): 0.29047 -> 0.28965, length: 4, cache size: 310017
min(objective): 0.28965 -> 0.28845, length: 4, cache size: 310019
min(objective): 0.28845 -> 0.28685, length: 4, cache size: 310021
min(objective): 0.28685 -> 0.27183, length: 4, cache size: 310041
before garbage_collect. num_nodes: 310087, log10(remaining): 1
after garbage_collect. num_nodes: 310087, log10(remaining): 1
iter: 10000, tree: 620430, queue: 612436, pmap: 606391, log10(remaining): 1, time elapsed: 1.896875
min(objective): 0.27183 -> 0.27063, length: 4, cache size: 666601
before garbage_collect. num_nodes: 666647, log10(remaining): 1
after garbage_collect. num_nodes: 666647, log10(remaining): 1
iter: 20000, tree: 1064875, queue: 1049334, pmap: 1031775, log10(remaining): 1, time elapsed: 3.632701
iter: 30000, tree: 1459063, queue: 1436219, pmap: 1409136, log10(remaining): 1, time elapsed: 5.142894
iter: 40000, tree: 1832432, queue: 1802323, pmap: 1764562, log10(remaining): 1, time elapsed: 6.638639
iter: 50000, tree: 2204746, queue: 2167028, pmap: 2121910, log10(remaining): 1, time elapsed: 8.292124
iter: 60000, tree: 2549003, queue: 2504147, pmap: 2453417, log10(remaining): 1, time elapsed: 9.687679
iter: 70000, tree: 2888098, queue: 2836046, pmap: 2779087, log10(remaining): 1, time elapsed: 11.061441
iter: 80000, tree: 3246111, queue: 3186207, pmap: 3122726, log10(remaining): 1, time elapsed: 12.474659
iter: 90000, tree: 3577943, queue: 3510521, pmap: 3441221, log10(remaining): 1, time elapsed: 13.834264
iter: 100000, tree: 3916325, queue: 3840991, pmap: 3765381, log10(remaining): 1, time elapsed: 15.715114
iter: 110000, tree: 4214240, queue: 4131777, pmap: 4052455, log10(remaining): 1, time elapsed: 17.023790
iter: 120000, tree: 4550246, queue: 4460044, pmap: 4376159, log10(remaining): 1, time elapsed: 18.380184
iter: 130000, tree: 4886342, queue: 4788126, pmap: 4699394, log10(remaining): 1, time elapsed: 19.720277
iter: 140000, tree: 5205438, queue: 5099499, pmap: 5004460, log10(remaining): 1, time elapsed: 21.025838
iter: 150000, tree: 5529560, queue: 5415624, pmap: 5317915, log10(remaining): 1, time elapsed: 22.351418
iter: 160000, tree: 5863935, queue: 5741650, pmap: 5639666, log10(remaining): 1, time elapsed: 23.673354
iter: 170000, tree: 6190763, queue: 6060194, pmap: 5952083, log10(remaining): 1, time elapsed: 24.986570
iter: 180000, tree: 6504067, queue: 6365204, pmap: 6255010, log10(remaining): 1, time elapsed: 26.282985
iter: 190000, tree: 6785600, queue: 6639236, pmap: 6527865, log10(remaining): 1, time elapsed: 27.553204
iter: 200000, tree: 7099531, queue: 6944527, pmap: 6831349, log10(remaining): 1, time elapsed: 28.835108
iter: 210000, tree: 7395908, queue: 7232581, pmap: 7116383, log10(remaining): 1, time elapsed: 30.085654
iter: 220000, tree: 7691919, queue: 7520576, pmap: 7397783, log10(remaining): 1, time elapsed: 31.392905
iter: 230000, tree: 7986695, queue: 7807177, pmap: 7677781, log10(remaining): 1, time elapsed: 33.706407
iter: 240000, tree: 8281353, queue: 8093707, pmap: 7962406, log10(remaining): 1, time elapsed: 34.953042
iter: 250000, tree: 8579402, queue: 8383637, pmap: 8248984, log10(remaining): 1, time elapsed: 36.211675
iter: 260000, tree: 8893820, queue: 8689418, pmap: 8549160, log10(remaining): 1, time elapsed: 37.489435
iter: 270000, tree: 9197006, queue: 8984262, pmap: 8838449, log10(remaining): 1, time elapsed: 38.756632
iter: 280000, tree: 9493670, queue: 9272869, pmap: 9124197, log10(remaining): 1, time elapsed: 40.004937
iter: 290000, tree: 9761043, queue: 9532871, pmap: 9382431, log10(remaining): 1, time elapsed: 41.245001
iter: 300000, tree: 10046324, queue: 9809991, pmap: 9657650, log10(remaining): 1, time elapsed: 42.468236
iter: 310000, tree: 10328624, queue: 10083959, pmap: 9925120, log10(remaining): 1, time elapsed: 43.693835
iter: 320000, tree: 10621009, queue: 10367779, pmap: 10201881, log10(remaining): 1, time elapsed: 44.928701
iter: 330000, tree: 10888144, queue: 10627242, pmap: 10458483, log10(remaining): 1, time elapsed: 46.169895
iter: 340000, tree: 11163938, queue: 10895039, pmap: 10722185, log10(remaining): 1, time elapsed: 47.401488
iter: 350000, tree: 11463327, queue: 11185706, pmap: 11009931, log10(remaining): 1, time elapsed: 48.641413
iter: 360000, tree: 11741972, queue: 11455732, pmap: 11276061, log10(remaining): 1, time elapsed: 49.825358
iter: 370000, tree: 12041698, queue: 11746518, pmap: 11559761, log10(remaining): 1, time elapsed: 51.054193
iter: 380000, tree: 12328283, queue: 12024555, pmap: 11836684, log10(remaining): 1, time elapsed: 52.259229
iter: 390000, tree: 12602904, queue: 12290779, pmap: 12100401, log10(remaining): 1, time elapsed: 53.468041
iter: 400000, tree: 12889888, queue: 12568871, pmap: 12377087, log10(remaining): 1, time elapsed: 54.664671
iter: 410000, tree: 13164039, queue: 12834882, pmap: 12643822, log10(remaining): 1, time elapsed: 55.873736
iter: 420000, tree: 13445580, queue: 13107697, pmap: 12914847, log10(remaining): 1, time elapsed: 57.102045
iter: 430000, tree: 13725667, queue: 13379290, pmap: 13181358, log10(remaining): 1, time elapsed: 58.308763
iter: 440000, tree: 13999446, queue: 13644030, pmap: 13445403, log10(remaining): 1, time elapsed: 59.473739
iter: 450000, tree: 14281817, queue: 13917605, pmap: 13718168, log10(remaining): 1, time elapsed: 60.671022
iter: 460000, tree: 14549682, queue: 14176528, pmap: 13974616, log10(remaining): 1, time elapsed: 61.839734
iter: 470000, tree: 14836394, queue: 14454005, pmap: 14250924, log10(remaining): 1, time elapsed: 63.013052
iter: 480000, tree: 15092513, queue: 14702068, pmap: 14494943, log10(remaining): 1, time elapsed: 64.228518
iter: 490000, tree: 15355563, queue: 14956592, pmap: 14744685, log10(remaining): 1, time elapsed: 65.425903
iter: 500000, tree: 15624593, queue: 15217081, pmap: 14998085, log10(remaining): 1, time elapsed: 66.656036
iter: 510000, tree: 15892221, queue: 15476097, pmap: 15252050, log10(remaining): 1, time elapsed: 67.846502
iter: 520000, tree: 16183340, queue: 15758133, pmap: 15532875, log10(remaining): 1, time elapsed: 71.319333
iter: 530000, tree: 16459040, queue: 16025009, pmap: 15792763, log10(remaining): 1, time elapsed: 72.468593
iter: 540000, tree: 16720206, queue: 16277731, pmap: 16039056, log10(remaining): 1, time elapsed: 73.643528
iter: 550000, tree: 16975433, queue: 16524710, pmap: 16285299, log10(remaining): 1, time elapsed: 74.806804
iter: 560000, tree: 17248575, queue: 16789152, pmap: 16547615, log10(remaining): 1, time elapsed: 76.019603
iter: 570000, tree: 17504448, queue: 17036588, pmap: 16791680, log10(remaining): 1, time elapsed: 77.179165
iter: 580000, tree: 17793500, queue: 17316295, pmap: 17066431, log10(remaining): 1, time elapsed: 78.333998
iter: 590000, tree: 18062550, queue: 17576589, pmap: 17321113, log10(remaining): 1, time elapsed: 79.480835
iter: 600000, tree: 18323087, queue: 17828045, pmap: 17569432, log10(remaining): 1, time elapsed: 80.600769
iter: 610000, tree: 18574408, queue: 18070888, pmap: 17809678, log10(remaining): 1, time elapsed: 81.733793
iter: 620000, tree: 18839628, queue: 18327312, pmap: 18063541, log10(remaining): 1, time elapsed: 82.883932
iter: 630000, tree: 19082072, queue: 18561294, pmap: 18293601, log10(remaining): 1, time elapsed: 84.006042
iter: 640000, tree: 19344263, queue: 18815007, pmap: 18542039, log10(remaining): 1, time elapsed: 85.155335
iter: 650000, tree: 19615292, queue: 19077226, pmap: 18801608, log10(remaining): 1, time elapsed: 86.319526
iter: 660000, tree: 19861446, queue: 19315203, pmap: 19036476, log10(remaining): 1, time elapsed: 87.479144
iter: 670000, tree: 20117277, queue: 19562674, pmap: 19279417, log10(remaining): 1, time elapsed: 88.641581
iter: 680000, tree: 20369029, queue: 19805957, pmap: 19518601, log10(remaining): 1, time elapsed: 89.804545
iter: 690000, tree: 20617670, queue: 20045904, pmap: 19758280, log10(remaining): 1, time elapsed: 90.934903
iter: 700000, tree: 20869447, queue: 20288734, pmap: 19995871, log10(remaining): 1, time elapsed: 92.062457
iter: 710000, tree: 21118493, queue: 20529180, pmap: 20230403, log10(remaining): 1, time elapsed: 93.214032
iter: 720000, tree: 21364555, queue: 20766370, pmap: 20469788, log10(remaining): 1, time elapsed: 94.310958
iter: 730000, tree: 21609423, queue: 21002493, pmap: 20694754, log10(remaining): 1, time elapsed: 95.471674
iter: 740000, tree: 21862589, queue: 21246855, pmap: 20931404, log10(remaining): 1, time elapsed: 96.616273
iter: 750000, tree: 22114868, queue: 21490531, pmap: 21167105, log10(remaining): 1, time elapsed: 97.783486
iter: 760000, tree: 22328484, queue: 21696191, pmap: 21370970, log10(remaining): 1, time elapsed: 98.900495
iter: 770000, tree: 22580435, queue: 21939764, pmap: 21613399, log10(remaining): 1, time elapsed: 100.043995
iter: 780000, tree: 22803186, queue: 22154548, pmap: 21825585, log10(remaining): 1, time elapsed: 101.179414
iter: 790000, tree: 23051615, queue: 22394248, pmap: 22063772, log10(remaining): 1, time elapsed: 102.323809
iter: 800000, tree: 23274111, queue: 22608694, pmap: 22273528, log10(remaining): 1, time elapsed: 103.454606
iter: 810000, tree: 23523674, queue: 22849557, pmap: 22510649, log10(remaining): 1, time elapsed: 104.586766
iter: 820000, tree: 23758133, queue: 23075502, pmap: 22732044, log10(remaining): 1, time elapsed: 105.711106
iter: 830000, tree: 24005396, queue: 23313616, pmap: 22968566, log10(remaining): 1, time elapsed: 106.833472
iter: 840000, tree: 24247299, queue: 23546667, pmap: 23197894, log10(remaining): 1, time elapsed: 107.947729
iter: 850000, tree: 24493507, queue: 23783613, pmap: 23436593, log10(remaining): 1, time elapsed: 109.036589
iter: 860000, tree: 24737713, queue: 24018647, pmap: 23674049, log10(remaining): 1, time elapsed: 110.119605
iter: 870000, tree: 24983162, queue: 24255343, pmap: 23897738, log10(remaining): 1, time elapsed: 111.273145
min(objective): 0.27063 -> 0.26884, length: 3, cache size: 25185918
before garbage_collect. num_nodes: 25185960, log10(remaining): 1
after garbage_collect. num_nodes: 25185960, log10(remaining): 1
iter: 880000, tree: 25203975, queue: 24468036, pmap: 24106557, log10(remaining): 1, time elapsed: 114.846901
iter: 890000, tree: 25436797, queue: 24691866, pmap: 24334545, log10(remaining): 1, time elapsed: 115.994221
iter: 900000, tree: 25632743, queue: 24879791, pmap: 24520018, log10(remaining): 1, time elapsed: 117.113421
