System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s10ky0.25_7_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35444 -> 0.32443, length: 1, cache size: 26
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.32443 -> 0.31783, length: 2, cache size: 115
min(objective): 0.31783 -> 0.31323, length: 2, cache size: 121
min(objective): 0.31323 -> 0.30883, length: 2, cache size: 123
min(objective): 0.30883 -> 0.30883, length: 2, cache size: 173
before garbage_collect. num_nodes: 219, log10(remaining): 1
after garbage_collect. num_nodes: 219, log10(remaining): 1
min(objective): 0.30883 -> 0.30513, length: 2, cache size: 229
before garbage_collect. num_nodes: 324, log10(remaining): 1
after garbage_collect. num_nodes: 324, log10(remaining): 1
min(objective): 0.30513 -> 0.29883, length: 2, cache size: 524
min(objective): 0.29883 -> 0.28873, length: 2, cache size: 530
min(objective): 0.28873 -> 0.28783, length: 2, cache size: 533
before garbage_collect. num_nodes: 621, log10(remaining): 1
after garbage_collect. num_nodes: 621, log10(remaining): 1
min(objective): 0.28783 -> 0.28232, length: 4, cache size: 37904
before garbage_collect. num_nodes: 37966, log10(remaining): 1
after garbage_collect. num_nodes: 37966, log10(remaining): 1
min(objective): 0.28232 -> 0.28062, length: 4, cache size: 47282
before garbage_collect. num_nodes: 47344, log10(remaining): 1
after garbage_collect. num_nodes: 47344, log10(remaining): 1
min(objective): 0.28062 -> 0.27872, length: 4, cache size: 143509
before garbage_collect. num_nodes: 143563, log10(remaining): 1
after garbage_collect. num_nodes: 143563, log10(remaining): 1
min(objective): 0.27872 -> 0.26732, length: 3, cache size: 307574
min(objective): 0.26732 -> 0.26732, length: 3, cache size: 307589
before garbage_collect. num_nodes: 307616, log10(remaining): 1
after garbage_collect. num_nodes: 307616, log10(remaining): 1
iter: 10000, tree: 377516, queue: 368741, pmap: 365994, log10(remaining): 1, time elapsed: 1.811666
min(objective): 0.26732 -> 0.26562, length: 3, cache size: 604378
before garbage_collect. num_nodes: 604408, log10(remaining): 1
after garbage_collect. num_nodes: 604408, log10(remaining): 1
iter: 20000, tree: 621200, queue: 603440, pmap: 600890, log10(remaining): 1, time elapsed: 3.314030
min(objective): 0.26562 -> 0.26552, length: 4, cache size: 728500
before garbage_collect. num_nodes: 728546, log10(remaining): 1
after garbage_collect. num_nodes: 728546, log10(remaining): 1
iter: 30000, tree: 830247, queue: 803266, pmap: 801943, log10(remaining): 1, time elapsed: 4.723685
min(objective): 0.26552 -> 0.26542, length: 3, cache size: 954870
before garbage_collect. num_nodes: 954902, log10(remaining): 1
after garbage_collect. num_nodes: 954902, log10(remaining): 1
iter: 40000, tree: 1021192, queue: 984905, pmap: 984643, log10(remaining): 1, time elapsed: 6.164311
iter: 50000, tree: 1194971, queue: 1149371, pmap: 1151046, log10(remaining): 1, time elapsed: 7.386438
iter: 60000, tree: 1354003, queue: 1299068, pmap: 1301739, log10(remaining): 1, time elapsed: 8.614837
iter: 70000, tree: 1501242, queue: 1437030, pmap: 1440375, log10(remaining): 1, time elapsed: 9.793912
iter: 80000, tree: 1643004, queue: 1569411, pmap: 1574192, log10(remaining): 1, time elapsed: 10.958046
iter: 90000, tree: 1774009, queue: 1691054, pmap: 1697391, log10(remaining): 1, time elapsed: 12.119028
iter: 100000, tree: 1899743, queue: 1807453, pmap: 1815245, log10(remaining): 1, time elapsed: 13.244407
iter: 110000, tree: 2017447, queue: 1915795, pmap: 1924875, log10(remaining): 1, time elapsed: 14.579567
iter: 120000, tree: 2135207, queue: 2024123, pmap: 2035640, log10(remaining): 1, time elapsed: 15.664427
iter: 130000, tree: 2247343, queue: 2126901, pmap: 2139360, log10(remaining): 1, time elapsed: 16.745124
iter: 140000, tree: 2355098, queue: 2225276, pmap: 2238471, log10(remaining): 1, time elapsed: 17.816998
iter: 150000, tree: 2456272, queue: 2317124, pmap: 2330792, log10(remaining): 1, time elapsed: 18.872559
iter: 160000, tree: 2555614, queue: 2407346, pmap: 2420257, log10(remaining): 1, time elapsed: 19.929378
iter: 170000, tree: 2653811, queue: 2496318, pmap: 2509443, log10(remaining): 1, time elapsed: 21.004640
