System information:
system name-> Linux; node name-> holy2c01215.rc.fas.harvard.edu; release-> 3.10.0-514.6.1.el7.x86_64; version-> #1 SMP Wed Jan 18 13:06:36 UTC 2017; machine-> x86_64

writing logs to: ../logs/for-census_c1s5ky0.25_7_train.out-curious_lb-with_prefix_perm_map-minor-removed=none-max_num_nodes=2000000000-c=0.0100000-v=progress,log-f=1000.txt

LEARNING RULE LIST via LOWER BOUND Prefix Map
min(objective): 0.35175 -> 0.31811, length: 1, cache size: 26
before garbage_collect. num_nodes: 113, log10(remaining): 1
after garbage_collect. num_nodes: 113, log10(remaining): 1
min(objective): 0.31811 -> 0.31429, length: 2, cache size: 121
min(objective): 0.31429 -> 0.31229, length: 2, cache size: 123
before garbage_collect. num_nodes: 219, log10(remaining): 1
after garbage_collect. num_nodes: 219, log10(remaining): 1
min(objective): 0.31229 -> 0.31129, length: 2, cache size: 227
min(objective): 0.31129 -> 0.30929, length: 2, cache size: 229
before garbage_collect. num_nodes: 324, log10(remaining): 1
after garbage_collect. num_nodes: 324, log10(remaining): 1
min(objective): 0.30929 -> 0.30248, length: 2, cache size: 428
min(objective): 0.30248 -> 0.28807, length: 2, cache size: 434
before garbage_collect. num_nodes: 525, log10(remaining): 1
after garbage_collect. num_nodes: 525, log10(remaining): 1
min(objective): 0.28807 -> 0.28805, length: 4, cache size: 18209
before garbage_collect. num_nodes: 18256, log10(remaining): 1
after garbage_collect. num_nodes: 18256, log10(remaining): 1
min(objective): 0.28805 -> 0.28426, length: 2, cache size: 22330
before garbage_collect. num_nodes: 22368, log10(remaining): 1
after garbage_collect. num_nodes: 22368, log10(remaining): 1
min(objective): 0.28426 -> 0.27584, length: 4, cache size: 28613
min(objective): 0.27584 -> 0.27143, length: 4, cache size: 28633
before garbage_collect. num_nodes: 28674, log10(remaining): 1
after garbage_collect. num_nodes: 28674, log10(remaining): 1
iter: 10000, tree: 358018, queue: 349304, pmap: 345963, log10(remaining): 1, time elapsed: 1.201550
min(objective): 0.27143 -> 0.27024, length: 3, cache size: 359089
before garbage_collect. num_nodes: 359127, log10(remaining): 1
after garbage_collect. num_nodes: 359127, log10(remaining): 1
iter: 20000, tree: 629626, queue: 611976, pmap: 607295, log10(remaining): 1, time elapsed: 2.286839
min(objective): 0.27024 -> 0.26663, length: 4, cache size: 839245
before garbage_collect. num_nodes: 839287, log10(remaining): 1
after garbage_collect. num_nodes: 839287, log10(remaining): 1
iter: 30000, tree: 879621, queue: 852682, pmap: 848207, log10(remaining): 1, time elapsed: 3.308162
iter: 40000, tree: 1085277, queue: 1049142, pmap: 1044027, log10(remaining): 1, time elapsed: 4.321742
iter: 50000, tree: 1279997, queue: 1234626, pmap: 1229108, log10(remaining): 1, time elapsed: 5.173867
iter: 60000, tree: 1465323, queue: 1410692, pmap: 1406144, log10(remaining): 1, time elapsed: 6.003307
iter: 70000, tree: 1642382, queue: 1578492, pmap: 1574618, log10(remaining): 1, time elapsed: 6.837746
iter: 80000, tree: 1808091, queue: 1734764, pmap: 1730655, log10(remaining): 1, time elapsed: 7.644519
iter: 90000, tree: 1966452, queue: 1883790, pmap: 1880240, log10(remaining): 1, time elapsed: 8.653182
iter: 100000, tree: 2109090, queue: 2017129, pmap: 2011659, log10(remaining): 1, time elapsed: 9.427427
iter: 110000, tree: 2241061, queue: 2140080, pmap: 2134596, log10(remaining): 1, time elapsed: 10.204846
iter: 120000, tree: 2372613, queue: 2262435, pmap: 2258011, log10(remaining): 1, time elapsed: 10.939732
iter: 130000, tree: 2492691, queue: 2373392, pmap: 2368738, log10(remaining): 1, time elapsed: 11.666256
iter: 140000, tree: 2607285, queue: 2479127, pmap: 2472837, log10(remaining): 1, time elapsed: 12.392455
iter: 150000, tree: 2723395, queue: 2586030, pmap: 2580193, log10(remaining): 1, time elapsed: 13.125388
iter: 160000, tree: 2836302, queue: 2689734, pmap: 2685291, log10(remaining): 1, time elapsed: 13.838291
